,number_concepts,embedding_dimension,boc_model,document,accuracy,method
605,3.0,300.0,VLAD_TFIDF,20n,0.8953941544639955,W2V
606,4.0,300.0,VLAD,20n,0.7986767305330359,W2V
607,4.0,300.0,VLAD_TFIDF,20n,0.8961966418022052,W2V
608,5.0,300.0,VLAD,20n,0.8063205238552383,W2V
609,5.0,300.0,VLAD_TFIDF,20n,0.8975848067064078,W2V
610,6.0,300.0,VLAD,20n,0.812912806776327,W2V
611,6.0,300.0,VLAD_TFIDF,20n,0.8981275651450691,W2V
612,7.0,300.0,VLAD,20n,0.8165964426472193,W2V
613,7.0,300.0,VLAD_TFIDF,20n,0.8960603557504507,W2V
614,8.0,300.0,VLAD,20n,0.8178094260768682,W2V
615,8.0,300.0,VLAD_TFIDF,20n,0.8936052313768382,W2V
616,9.0,300.0,VLAD,20n,0.8201182319992286,W2V
617,9.0,300.0,VLAD_TFIDF,20n,0.8959881447447161,W2V
618,10.0,300.0,VLAD,20n,0.8224927965310159,W2V
619,10.0,300.0,VLAD_TFIDF,20n,0.8958710700369693,W2V
620,11.0,300.0,VLAD,20n,0.8245510943873235,W2V
621,11.0,300.0,VLAD_TFIDF,20n,0.8953629921721538,W2V
622,12.0,300.0,VLAD,20n,0.827913779378439,W2V
623,12.0,300.0,VLAD_TFIDF,20n,0.8945435924300575,W2V
624,13.0,300.0,VLAD,20n,0.829151415536763,W2V
625,13.0,300.0,VLAD_TFIDF,20n,0.8937215186554524,W2V
626,14.0,300.0,VLAD,20n,0.8293891012578563,W2V
627,14.0,300.0,VLAD_TFIDF,20n,0.8931196416774583,W2V
628,15.0,300.0,VLAD,20n,0.8342064485590708,W2V
629,15.0,300.0,VLAD_TFIDF,20n,0.8946174779475958,W2V
630,16.0,300.0,VLAD,20n,0.8343076871057594,W2V
631,16.0,300.0,VLAD_TFIDF,20n,0.8942669615069262,W2V
632,17.0,300.0,VLAD,20n,0.8377208506885504,W2V
633,17.0,300.0,VLAD_TFIDF,20n,0.8961724008477662,W2V
634,18.0,300.0,VLAD,20n,0.8368694787283287,W2V
635,18.0,300.0,VLAD_TFIDF,20n,0.8976123381019546,W2V
636,19.0,300.0,VLAD,20n,0.8395422243509829,W2V
637,19.0,300.0,VLAD_TFIDF,20n,0.8958505022850216,W2V
638,20.0,300.0,VLAD,20n,0.8376372259358362,W2V
639,20.0,300.0,VLAD_TFIDF,20n,0.8955442238717615,W2V
640,21.0,300.0,VLAD,20n,0.8417930176895354,W2V
641,21.0,300.0,VLAD_TFIDF,20n,0.8955756427892553,W2V
642,22.0,300.0,VLAD,20n,0.8412656934474712,W2V
643,22.0,300.0,VLAD_TFIDF,20n,0.8970807083708412,W2V
644,23.0,300.0,VLAD,20n,0.8428279612087917,W2V
645,23.0,300.0,VLAD_TFIDF,20n,0.8971518581313577,W2V
646,24.0,300.0,VLAD,20n,0.8431924899114741,W2V
647,24.0,300.0,VLAD_TFIDF,20n,0.8963160163171541,W2V
648,25.0,300.0,VLAD,20n,0.8430518565248791,W2V
649,25.0,300.0,VLAD_TFIDF,20n,0.8966647946942782,W2V
650,26.0,300.0,VLAD,20n,0.8437469949162321,W2V
651,26.0,300.0,VLAD_TFIDF,20n,0.8950981173906818,W2V
652,27.0,300.0,VLAD,20n,0.8433919733649434,W2V
653,27.0,300.0,VLAD_TFIDF,20n,0.8957406615750052,W2V
654,28.0,300.0,VLAD,20n,0.8436649233955297,W2V
655,28.0,300.0,VLAD_TFIDF,20n,0.8963014545343195,W2V
656,29.0,300.0,VLAD,20n,0.842519100780987,W2V
657,29.0,300.0,VLAD_TFIDF,20n,0.8962567881528596,W2V
658,30.0,300.0,VLAD,20n,0.8443774192753258,W2V
659,30.0,300.0,VLAD_TFIDF,20n,0.8977614330903705,W2V
660,1.0,300.0,VLAD,20n,0.7477033555358054,self-trained-glove
661,1.0,300.0,VLAD_TFIDF,20n,0.892382156766652,self-trained-glove
662,2.0,300.0,VLAD,20n,0.7808392647960971,self-trained-glove
663,2.0,300.0,VLAD_TFIDF,20n,0.8935224319571262,self-trained-glove
664,3.0,300.0,VLAD,20n,0.7995086233392904,self-trained-glove
665,3.0,300.0,VLAD_TFIDF,20n,0.8962308347629712,self-trained-glove
666,4.0,300.0,VLAD,20n,0.8118831409897779,self-trained-glove
667,4.0,300.0,VLAD_TFIDF,20n,0.8938447914577091,self-trained-glove
668,5.0,300.0,VLAD,20n,0.8206675346848549,self-trained-glove
669,5.0,300.0,VLAD_TFIDF,20n,0.8940707574972018,self-trained-glove
670,6.0,300.0,VLAD,20n,0.8243779906945019,self-trained-glove
671,6.0,300.0,VLAD_TFIDF,20n,0.8957098062115962,self-trained-glove
